INFO 2025-03-19 15:11:00,144 basehttp 15272 3324 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-03-19 15:11:00,145 basehttp 15272 12016 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-03-19 15:11:00,146 basehttp 15272 4072 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-03-19 15:11:06,519 basehttp 15272 4072 "GET /admin/users/user/ HTTP/1.1" 200 30930
INFO 2025-03-19 15:11:06,537 basehttp 15272 4072 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-03-19 15:11:06,545 basehttp 15272 3324 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-03-19 15:11:06,545 basehttp 15272 17580 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-03-19 15:11:06,545 basehttp 15272 4072 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-03-19 15:11:06,546 basehttp 15272 3756 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-03-19 15:11:06,546 basehttp 15272 18256 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-03-19 15:11:06,549 basehttp 15272 3324 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-03-19 15:11:06,549 basehttp 15272 17580 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-03-19 15:11:06,549 basehttp 15272 4072 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-03-19 15:11:06,552 basehttp 15272 3324 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-03-19 15:11:06,553 basehttp 15272 17580 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-03-19 15:11:06,580 basehttp 15272 17580 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-03-19 15:11:06,589 basehttp 15272 12016 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-19 15:11:06,594 basehttp 15272 17580 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-03-19 15:11:06,616 basehttp 15272 17580 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-03-19 15:11:06,616 basehttp 15272 12016 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-03-19 15:11:47,417 basehttp 15272 12016 "GET /admin/users/user/? HTTP/1.1" 200 30930
INFO 2025-03-19 15:11:47,604 basehttp 15272 12016 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-19 15:11:57,373 basehttp 15272 12016 "GET /admin/auth/ HTTP/1.1" 200 5325
INFO 2025-03-19 15:11:59,019 basehttp 15272 12016 "GET /admin/users/user/? HTTP/1.1" 200 30930
INFO 2025-03-19 15:16:00,788 autoreload 15272 19432 D:\open ai\smart-parking-system\backend\apps\ai\admin.py changed, reloading.
INFO 2025-03-19 15:16:02,790 autoreload 2496 15876 Watching for file changes with StatReloader
INFO 2025-03-19 15:16:13,885 basehttp 2496 12460 "GET /admin HTTP/1.1" 301 0
INFO 2025-03-19 15:16:14,240 basehttp 2496 3504 "GET /admin/ HTTP/1.1" 200 29806
INFO 2025-03-19 15:16:24,706 basehttp 2496 3504 "GET /admin/ai/facedetection/ HTTP/1.1" 200 24568
INFO 2025-03-19 15:16:24,786 basehttp 2496 3504 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-19 15:16:27,450 basehttp 2496 3504 "GET /admin/ai/facedetection/add/ HTTP/1.1" 200 31629
INFO 2025-03-19 15:16:27,497 basehttp 2496 3504 "GET /static/admin/css/forms.css HTTP/1.1" 200 8710
INFO 2025-03-19 15:16:27,501 basehttp 2496 3504 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-03-19 15:16:27,511 basehttp 2496 3504 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2025-03-19 15:16:27,513 basehttp 2496 13652 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
